Chapter Number,Verse Number,Translation Verses,Extracted Keywords
2.0,28.0,Then how can you disbelieve in God? He gave you life when you were dead. He will make you die again then bring you back to life: To Him then you will return.,"['return', 'make', 'life', 'life', 'god', 'gave', 'disbelieve', 'die', 'dead', 'bring', 'back']"
2.0,29.0,"He made for you all that lies within the earth, then turning to the firmament He proportioned several skies: He has knowledge of everything.","['proportioned several skies', 'lies within', 'turning', 'made', 'knowledge', 'firmament', 'everything', 'earth']"
2.0,30.0,"Remember, when your Lord said to the angels: ""I have to place a trustee on the earth,"" they said: ""Will You place one there who would create disorder and shed blood, while we intone Your litanies and sanctify Your name?"" And God said: ""I know what you do not know.""","['would create disorder', 'shed blood', 'name ?""', 'earth ,""', 'lord said', 'god said', 'place one', 'know .""', 'said', 'place', 'know', 'trustee', 'sanctify', 'remember', 'litanies', 'intone', 'angels']"
2.0,31.0,"Then He gave Adam knowledge of the nature and reality of all things and everything, and set them before the angels and said: ""Tell Me the names of these if you are truthful.""","['gave adam knowledge', 'truthful .""', 'things', 'tell', 'set', 'said', 'reality', 'nature', 'names', 'everything', 'angels']"
2.0,32.0,"And they said: ""Glory to You (O Lord), knowledge we have none except what You have given us, for You are all-knowing and all-wise.""","['lord ), knowledge', 'wise .""', 'none except', 'given us', 'said', 'knowing', 'glory']"
2.0,33.0,"Then He said to Adam: ""Convey to them their names."" And when he had told them, God said: ""Did I not tell you that I know the unknown of the heavens and the earth, and I know what you disclose and know what you hide?""","['names .""', 'hide ?""', 'god said', 'said', 'unknown', 'told', 'tell', 'know', 'know', 'know', 'heavens', 'earth', 'disclose', 'convey', 'adam']"
2.0,34.0,"Remember, when We asked the angels to bow in homage to Adam, they all bowed but Iblis, who disdained and turned insolent, and so became a disbeliever.","['turned insolent', 'remember', 'iblis', 'homage', 'disdained', 'disbeliever', 'bowed', 'bow', 'became', 'asked', 'angels', 'adam']"
2.0,35.0,"And We said to Adam: ""Both you and your spouse live in the Garden, eat freely to your fill wherever you like, but approach not this tree or you will become transgressors.","['spouse live', 'fill wherever', 'eat freely', 'become transgressors', 'tree', 'said', 'like', 'garden', 'approach', 'adam']"
2.0,36.0,"But Satan tempted them and had them banished from the (happy) state they were in. And We said: ""Go, one the antagonist of the other, and live on the earth for a time ordained, and fend for yourselves.""","['time ordained', 'satan tempted', 'state', 'said', 'one', 'live', 'happy', 'go', 'fend', 'earth', 'banished', 'antagonist', '.""']"
2.0,37.0,Then his Lord sent commands to Adam and turned towards him: Indeed He is compassionate and kind.,"['lord sent commands', 'turned towards', 'kind', 'indeed', 'compassionate', 'adam']"
2.0,38.0,"And We said to them: ""Go, all of you. When I send guidance, whoever follows it will neither have fear nor regret;","['whoever follows', 'send guidance', 'said', 'regret', 'neither', 'go', 'fear']"
2.0,39.0,"But those who deny and reject Our signs will belong to Hell, and there abide unchanged.""","['abide unchanged .""', 'signs', 'reject', 'hell', 'deny', 'belong']"
2.0,40.0,"O children of Israel, remember the favours I bestowed on you. So keep your pledge to Me, and I will mine to you, and be fearful of Me,","['remember', 'pledge', 'mine', 'keep', 'israel', 'fearful', 'favours', 'children', 'bestowed']"
2.0,41.0,"And believe in what I have sent down which verifies what is already with you; and do not be the first to deny it, nor part with it for little gain; and beware of Me.","['little gain', 'verifies', 'sent', 'part', 'first', 'deny', 'beware', 'believe', 'already']"
2.0,42.0,"Do not confuse truth with falsehood, nor conceal the truth knowingly.","['truth knowingly', 'confuse truth', 'falsehood', 'conceal']"
2.0,43.0,"Be firm in devotion; give zakat (the due share of your wealth for the welfare of others), and bow with those who bow (before God).","['others ),', 'god ).', 'give zakat', 'due share', 'welfare', 'wealth', 'firm', 'devotion', 'bow', 'bow']"
2.0,44.0,"Will you enjoin good deeds on the others and forget your own selves? You also read the Scriptures, why do you then not understand?","['enjoin good deeds', 'also read', 'understand', 'selves', 'scriptures', 'others', 'forget']"
2.0,45.0,"Find strength in fortitude and prayer, which is heavy and exacting but for those who are humble and meek,","['find strength', 'prayer', 'meek', 'humble', 'heavy', 'fortitude', 'exacting']"
2.0,46.0,"Who are conscious that they have to meet their Lord, and to Him they have to return.","['return', 'meet', 'lord', 'conscious']"
2.0,47.0,"Remember, O children of Israel, the favours I bestowed on you, and made you exalted among the nations of the world.","['exalted among', 'world', 'remember', 'nations', 'made', 'israel', 'favours', 'children', 'bestowed']"
2.0,48.0,"Take heed of the day when no man will be useful to man in the least, when no intercession matter nor ransom avail, nor help reach them.","['take heed', 'ransom avail', 'intercession matter', 'help reach', 'useful', 'man', 'man', 'least', 'day']"
2.0,49.0,"Remember, We saved you from the Pharaoh's people who wronged and oppressed you and slew your sons but spared your women: In this was a great favour from your Lord.","['great favour', 'wronged', 'women', 'spared', 'sons', 'slew', 'saved', 'remember', 'pharaoh', 'people', 'oppressed', 'lord']"
2.0,50.0,"Remember, We parted the sea and saved you, and drowned the men of Pharaoh before your very eyes.","['sea', 'saved', 'remember', 'pharaoh', 'parted', 'men', 'eyes', 'drowned']"
2.0,51.0,"Yet, remember, as We communed with Moses for forty nights you took the calf in his absence (and worshipped it), and you did wrong.","['forty nights', 'yet', 'wrong', 'worshipped', 'took', 'remember', 'moses', 'communed', 'calf', 'absence', '),']"
2.0,52.0,"Even so, We pardoned you that you may be grateful.","['pardoned', 'may', 'grateful', 'even']"
2.0,53.0,"Remember, We gave Moses the Book and Discernment of falsehood and truth, that you may be guided.","['gave moses', 'truth', 'remember', 'may', 'guided', 'falsehood', 'discernment', 'book']"
2.0,54.0,"Remember, Moses said: ""My people, by taking this calf you have done yourselves harm, so now turn to your Creator in repentance, and kill your pride, which is better with your Lord."" And (the Lord) softened towards you, for He is all-forgiving and merciful.","['softened towards', 'moses said', 'lord .""', 'lord', 'turn', 'taking', 'repentance', 'remember', 'pride', 'people', 'merciful', 'kill', 'harm', 'forgiving', 'done', 'creator', 'calf', 'better']"
2.0,55.0,"Remember, when you said to Moses: ""We shall not believe in you until we see God face to face,"" lightning struck you as you looked.","['face ,"" lightning struck', 'see god face', 'shall', 'said', 'remember', 'moses', 'looked', 'believe']"
2.0,56.0,Even then We revived you after you had become senseless that you might give thanks;,"['might give thanks', 'become senseless', 'revived', 'even']"
2.0,57.0,"And made the cloud spread shade over you, and sent for you manna and quails that you may eat of the good things We have made for you. No harm was done to Us, they only harmed themselves.","['cloud spread shade', 'may eat', 'good things', 'us', 'sent', 'quails', 'manna', 'made', 'made', 'harmed', 'harm', 'done']"
2.0,58.0,"And remember, We said to you: ""Enter this city, eat wherever you like, as much as you please, but pass through the gates in humility and say: 'May our sins be forgiven.' We shall forgive your trespasses and give those who do good abundance.","['shall forgive', 'good abundance', ""forgiven .'"", 'eat wherever', 'trespasses', 'sins', 'say', 'said', 'remember', 'please', 'pass', 'much', 'may', 'like', 'humility', 'give', 'gates', 'enter', 'city']"
2.0,59.0,"But the wicked changed and perverted the word We had spoken to a word distorted, and We sent from heaven retribution on the wicked, for they disobeyed.","['heaven retribution', 'word distorted', 'wicked changed', 'word', 'wicked', 'spoken', 'sent', 'perverted', 'disobeyed']"
2.0,60.0,"And remember, when Moses asked for water for his people, We told him to strike the rock with his staff, and behold, twelve springs of gushing water gushed forth so that each of the tribes came to know its place of drinking. Eat and drink, (enjoy) God's gifts, and spread no discord in the land.","['gushing water gushed forth', 'twelve springs', 'tribes came', 'moses asked', 'water', 'told', 'strike', 'staff', 'spread', 'rock', 'remember', 'place', 'people', 'land', 'know', 'god', 'gifts', 'enjoy', 'eat', 'drinking', 'drink', 'discord', 'behold']"
2.0,61.0,"Remember, when you said: ""O Moses, we are tired of eating the same food (day after day), ask your Lord to give us fruits of the earth, herbs and cucumbers, grains and lentils and onions;"" he said: ""Would you rather exchange what is good with what is bad? Go then to the city, you shall have what you ask."" So they were disgraced and became indigent, earning the anger of God, for they disbelieved the word of God, and slayed the prophets unjustly, for they transgressed and rebelled.","['give us fruits', 'day ), ask', 'ask .""', 'rather exchange', 'prophets unjustly', 'onions ;""', 'became indigent', 'day', 'would', 'word', 'transgressed', 'tired', 'slayed', 'shall', 'said', 'said', 'remember', 'rebelled', 'moses', 'lord', 'lentils', 'herbs', 'grains', 'good', 'god', 'god', 'go', 'food', 'eating', 'earth', 'earning', 'disgraced', 'disbelieved', 'cucumbers', 'city', 'bad', 'anger']"
2.0,62.0,"Surely the believers and the Jews, Nazareans and the Sabians, whoever believes in God and the Last Day, and whosoever does right, shall have his reward with his Lord and will neither have fear nor regret.","['whoever believes', 'last day', 'whosoever', 'surely', 'shall', 'sabians', 'right', 'reward', 'regret', 'neither', 'nazareans', 'lord', 'jews', 'god', 'fear', 'believers']"
2.0,63.0,"Remember the day We made the covenant with you and exalted you on the Mount and said: ""Hold fast to what We have given you, and remember what is therein that you may take heed.""","['may take heed .""', 'hold fast', 'therein', 'said', 'remember', 'remember', 'mount', 'made', 'given', 'exalted', 'day', 'covenant']"
2.0,64.0,"But you went back (on your word), and but for the mercy and grace of God you were lost.","['word ),', 'went back', 'mercy', 'lost', 'grace', 'god']"
2.0,65.0,"You know and have known already those among you who had broken the sanctity of the Sabbath, and to whom We had said: ""Become (like) apes despised,""","['apes despised ,""', 'known already', 'sanctity', 'said', 'sabbath', 'like', 'know', 'broken', 'become', 'among']"
2.0,66.0,"And whom We made an example for the people (of the day) and those after them, and warning for those who fear God.","['fear god', 'warning', 'people', 'made', 'example', 'day']"
2.0,67.0,"Remember, when Moses said to his people: ""God demands that you sacrifice a cow,"" they said: ""Are you making fun of us?"" And he said: ""God forbid that I be of the ignorant.""","['us ?""', 'making fun', 'ignorant .""', 'god forbid', 'god demands', 'cow ,""', 'moses said', 'said', 'said', 'sacrifice', 'remember', 'people']"
2.0,68.0,"Call on your Lord for us, they said, ""that He might inform us what kind she should be."" ""Neither old nor young, says God, but of age in between,"" answered Moses. ""So do as you are bid.""","[',"" answered moses', 'might inform us', 'says god', 'neither old', 'bid .""', 'us', '.""', 'young', 'said', 'lord', 'kind', 'call', 'age']"
2.0,69.0,"Call on your Lord, they said, ""to tell us the colour of the cow."" ""God says,"" answered Moses, ""a fawn coloured cow, rich yellow, well pleasing to the eye.""","['god says ,"" answered moses', 'fawn coloured cow', 'cow .""', 'well pleasing', 'tell us', 'rich yellow', 'eye .""', 'said', 'lord', 'colour', 'call']"
2.0,70.0,"Call on your Lord, they said, ""to name its variety, as cows be all alike to us. If God wills we shall be guided aright.""","['guided aright .""', 'god wills', 'variety', 'us', 'shall', 'said', 'name', 'lord', 'cows', 'call', 'alike']"
2.0,71.0,"And Moses said: ""He says it's a cow unyoked, nor worn out by ploughing or watering the fields, one in good shape with no mark or blemish."" ""Now have you brought us the truth,"" they said; and then, after wavering, they sacrificed the cow.","['truth ,""', 'good shape', 'brought us', 'blemish .""', 'moses said', 'cow unyoked', 'said', 'cow', 'worn', 'wavering', 'watering', 'says', 'sacrificed', 'ploughing', 'one', 'mark', 'fields']"
2.0,72.0,"Remember when you killed a man and blamed each other for the deed, God brought to light what you concealed.","['god brought', 'remember', 'man', 'light', 'killed', 'deed', 'concealed', 'blamed']"
2.0,73.0,"We had pronounced already: ""Slay (the murderer) for (taking a life)."" Thus God preserves life from death and shows you His signs that you may understand.","['thus god preserves life', 'life ).""', 'pronounced already', 'may understand', 'taking', 'slay', 'signs', 'shows', 'murderer', 'death']"
2.0,74.0,"Yet, in spite of this, your hearts only hardened like rocks or even harder, but among rocks are those from which rivers flow; and there are also those which split open and water gushes forth; as well as those that roll down for fear of God. And God is not negligent of all that you do.","['water gushes forth', 'hardened like rocks', 'among rocks', 'split open', 'rivers flow', 'even harder', 'yet', 'well', 'spite', 'roll', 'negligent', 'hearts', 'god', 'god', 'fear', 'also']"
2.0,75.0,"How do you expect them to put their faith in you, when you know that some among them heard the word of God and, having understood, perverted it knowingly?","['word', 'understood', 'put', 'perverted', 'knowingly', 'know', 'heard', 'god', 'faith', 'expect', 'among']"
2.0,76.0,"For when they meet the faithful, they say: ""We believe;"" but when among themselves, they say: ""Why do you tell them what the Lord has revealed to you? They will only dispute it in the presence of your Lord. Have you no sense indeed?""","['sense indeed ?""', 'believe ;""', 'tell', 'say', 'say', 'revealed', 'presence', 'meet', 'lord', 'lord', 'faithful', 'dispute', 'among']"
2.0,77.0,Do they not know that God is aware of what they hide and what they disclose?,"['know', 'hide', 'god', 'disclose', 'aware']"
2.0,78.0,"Among them are heathens who know nothing of the Book but only what they wish to believe, and are only lost in fantasies.","['know nothing', 'wish', 'lost', 'heathens', 'fantasies', 'book', 'believe', 'among']"
2.0,79.0,"But woe to them who fake the Scriptures and say: ""This is from God,"" so that they might earn some profit thereby; and woe to them for what they fake, and woe to them for what they earn from it!","['profit thereby', 'god ,""', 'might earn', 'earn', 'woe', 'woe', 'woe', 'scriptures', 'say', 'fake', 'fake']"
2.0,80.0,"Yet they say: ""The Fire will not touch us for more than a few days."" Say.. ""Have you so received a promise from God?"" ""Then surely God will not withdraw His pledge. Or do you impute things to God of which you have no knowledge at all?""","['touch us', 'impute things', 'days .""', 'surely god', 'say ..', 'god ?""', 'god', 'say', '?""', 'yet', 'withdraw', 'received', 'promise', 'pledge', 'knowledge', 'fire']"
2.0,81.0,"Why, they who have earned the wages of sin and are enclosed in error, are people of Hell, where they will abide for ever.","['wages', 'sin', 'people', 'hell', 'ever', 'error', 'enclosed', 'earned', 'abide']"
2.0,82.0,"But those who believe and do good deeds are people of Paradise, and shall live there forever.","['shall live', 'good deeds', 'people', 'paradise', 'forever', 'believe']"
2.0,83.0,"Remember, when We made a covenant with the people of Israel and said: ""Worship no one but God, and be good to your parents and your kin, and to orphans and the needy, and speak of goodness to men; observe your devotional obligations, and give zakat (the due share of your wealth for the welfare of others),"" you went back (on your word), except only a few, and paid no heed.","['word ), except', 'went back', 'others ),""', 'give zakat', 'due share', 'devotional obligations', 'worship', 'welfare', 'wealth', 'speak', 'said', 'remember', 'people', 'parents', 'paid', 'orphans', 'one', 'observe', 'needy', 'men', 'made', 'kin', 'israel', 'heed', 'goodness', 'good', 'god', 'covenant']"
2.0,84.0,"And remember, when We made a covenant with you whereby you agreed you will neither shed blood among you nor turn your people out of their homes, you promised, and are witness to it too.","['neither shed blood among', 'witness', 'whereby', 'turn', 'remember', 'promised', 'people', 'made', 'homes', 'covenant', 'agreed']"
2.0,85.0,"But you still kill one another, and you turn a section of your people from their homes, assisting one another against them with guilt and oppression. Yet when they are brought to you as captives you ransom them, although forbidden it was to drive them away. Do you, then, believe a part of the Book and reject a part? There is no other award for them who so act but disgrace in the world, and on the Day of Judgement the severest of punishment; for God is not heedless of all that you do.","['still kill one another', 'assisting one another', 'although forbidden', 'yet', 'world', 'turn', 'severest', 'section', 'reject', 'ransom', 'punishment', 'people', 'part', 'part', 'oppression', 'judgement', 'homes', 'heedless', 'guilt', 'god', 'drive', 'disgrace', 'day', 'captives', 'brought', 'book', 'believe', 'away', 'award', 'act']"
2.0,86.0,They are those who bought the life of the world at the cost of the life to come; and neither will their torment decrease nor help reach them.,"['torment decrease', 'help reach', 'world', 'neither', 'life', 'life', 'cost', 'come', 'bought']"
2.0,87.0,"Remember We gave Moses the Book and sent after him many an apostle; and to Jesus, son of Mary, We gave clear evidence of the truth, reinforcing him with divine grace. Even so, when a messenger brought to you what did not suit your mood you turned haughty, and called some imposters and some others you slew.","['gave clear evidence', 'gave moses', 'turned haughty', 'messenger brought', 'divine grace', 'truth', 'suit', 'son', 'slew', 'sent', 'remember', 'reinforcing', 'others', 'mood', 'mary', 'many', 'jesus', 'imposters', 'even', 'called', 'book', 'apostle']"
2.0,88.0,"And they say: ""Our hearts are enfolded in covers."" In fact God has cursed them for their unbelief; and only a little do they believe.","['fact god', 'covers .""', 'unbelief', 'say', 'little', 'hearts', 'enfolded', 'cursed', 'believe']"
2.0,89.0,"And when the Book was sent to them by God verifying what had been revealed to them already even though before it they used to pray for victory over the unbelievers and even though they recognised it when it came to them, they renounced it. The curse of God be on those who deny!","['already even though', 'even though', 'god verifying', 'god', 'victory', 'used', 'unbelievers', 'sent', 'revealed', 'renounced', 'recognised', 'pray', 'deny', 'curse', 'came', 'book']"
2.0,90.0,"They bartered their lives ill denying the revelation of God out of spite that God should bestow His grace among His votaries on whomsoever He will, and thus earned wrath upon wrath. The punishment for disbelievers is ignominious.","['thus earned wrath upon wrath', 'lives ill denying', 'grace among', 'whomsoever', 'votaries', 'spite', 'revelation', 'punishment', 'ignominious', 'god', 'god', 'disbelievers', 'bestow', 'bartered']"
2.0,91.0,"And when it is said to them: ""believe in what God has sent down,"" they say: ""We believe what was sent to us, and do not believe what has come thereafter,"" although it affirms the truth they possess already. Say: ""Why have you then been slaying God's apostles as of old, if you do believe?""","['come thereafter ,"" although', 'possess already', 'slaying god', 'believe ?""', ',""', 'god', 'believe', 'believe', 'believe', 'us', 'truth', 'sent', 'sent', 'say', 'say', 'said', 'old', 'apostles', 'affirms']"
2.0,92.0,"Although Moses had come to you with evidence of the truth, you chose the calf in his absence, and you transgressed.","['although moses', 'truth', 'transgressed', 'evidence', 'come', 'chose', 'calf', 'absence']"
2.0,93.0,"Remember when We took your pledge and exalted you on the Mount (saying:) ""Hold fast to what We have given you, firmly, and pay heed,"" you said: ""We have heard and will not obey."" (The image of) the calf had sunk deep into their hearts on account of unbelief. Say: ""Vile is your belief if you are believers indeed!""","['pay heed ,""', 'believers indeed !""', 'sunk deep', 'saying :)', 'obey .""', 'hold fast', 'vile', 'unbelief', 'took', 'say', 'said', 'remember', 'pledge', 'mount', 'image', 'hearts', 'heard', 'given', 'firmly', 'exalted', 'calf', 'belief', 'account']"
2.0,94.0,"Tell them: ""If you think you alone will abide with God to the exclusion of the rest of Mankind, in the mansions of the world to come, then wish for death if what you say is true.""","['true .""', 'world', 'wish', 'think', 'tell', 'say', 'rest', 'mansions', 'mankind', 'god', 'exclusion', 'death', 'come', 'alone', 'abide']"
2.0,95.0,But they will surely not wish for death because of what they had done in the past; and God knows the sinners well.,"['sinners well', 'god knows', 'wish', 'surely', 'past', 'done', 'death']"
2.0,96.0,"You will see they are covetous of life more than other men, even more than those who practise idolatry. Each one of them desires to live a thousand years, although longevity will never save them from punishment, for God sees all they do.","['thousand years', 'practise idolatry', 'never save', 'god sees', 'although longevity', 'see', 'punishment', 'one', 'men', 'live', 'life', 'even', 'desires', 'covetous']"
2.0,97.0,"Say: ""Whosoever is the enemy of Gabriel who revealed the word of God to you by the dispensation of God, reaffirming what had been revealed before, and is a guidance and good news for those who believe, --","['good news', 'word', 'whosoever', 'say', 'revealed', 'revealed', 'reaffirming', 'guidance', 'god', 'god', 'gabriel', 'enemy', 'dispensation', 'believe', '--']"
2.0,98.0,"Whosoever is the enemy of God and His angels and apostles, and of Gabriel and Michael, then God is the enemy of such unbelievers.""","['unbelievers .""', 'whosoever', 'michael', 'god', 'god', 'gabriel', 'enemy', 'enemy', 'apostles', 'angels']"
2.0,99.0,"We have sent clear signs to you, such as none can deny except those who transgress the truth.","['sent clear signs', 'deny except', 'truth', 'transgress', 'none']"
2.0,100.0,"And every time they made a pledge some of them pushed it aside, and many of them do not believe.","['every time', 'pushed', 'pledge', 'many', 'made', 'believe', 'aside']"
2.0,101.0,"When a messenger was sent to them by God affirming the Books they had already received, some of them put (His message) behind their backs as if they had no knowledge of it.","['god affirming', 'already received', 'sent', 'put', 'messenger', 'message', 'knowledge', 'books', 'behind', 'backs']"
2.0,102.0,"And they follow what devilish beings used to chant against the authority of Solomon, though Solomon never disbelieved and only the devils denied, who taught sorcery to men, which, they said, had been revealed to the angels of Babylon, Harut and Marut, who, however, never taught it without saying: ""We have been sent to deceive you, so do not renounce (your faith)."" They learnt what led to discord between husband and wife. Yet they could not harm any one or without the dispensation of God. And they learnt what harmed them and brought no gain. They knew indeed whoever bought this had no place in the world to come, and that surely they had sold themselves for something that was vile. If only they had sense!","['knew indeed whoever bought', 'though solomon never disbelieved', 'devilish beings used', 'never taught', 'taught sorcery', 'faith ).""', 'devils denied', 'without saying', 'solomon', 'without', 'yet', 'world', 'wife', 'vile', 'surely', 'something', 'sold', 'sent', 'sense', 'said', 'revealed', 'renounce', 'place', 'one', 'men', 'marut', 'led', 'learnt', 'learnt', 'husband', 'however', 'harut', 'harmed', 'harm', 'god', 'gain', 'follow', 'dispensation', 'discord', 'deceive', 'could', 'come', 'chant', 'brought', 'babylon', 'authority', 'angels']"
2.0,103.0,"Had they come to believe instead, and taken heed for themselves, they would surely have earned from God a far better reward. If only they had sense!","['far better reward', 'would surely', 'taken heed', 'believe instead', 'sense', 'god', 'earned', 'come']"
2.0,104.0,"Say not (to the Prophet), O Believers: ""Have regard for us (ra'ina),"" but ""look at us (unzurna),"" and obey him in what he says. Painful is the nemesis for disbelievers.","['unzurna ),""', 'prophet ),', 'ina ),""', 'us', 'us', 'says', 'say', 'regard', 'ra', 'painful', 'obey', 'nemesis', 'look', 'disbelievers', 'believers']"
2.0,105.0,"Those without faith among the people of the Book, and those who worship idols, do not wish that good should come to you from your Lord. But God chooses whom He likes for His grace; and the bounty of God is infinite.","['without faith among', 'worship idols', 'god chooses', 'god', 'wish', 'people', 'lord', 'likes', 'infinite', 'grace', 'good', 'come', 'bounty', 'book']"
2.0,106.0,"When We cancel a message (sent to an earlier prophet) or throw it into oblivion, We replace it with one better or one similar. Do you not know that God has power over all things?","['one similar', 'one better', 'earlier prophet', 'throw', 'things', 'sent', 'replace', 'power', 'oblivion', 'message', 'know', 'god', 'cancel']"
