Surah Name,Verse Translation,Number Chapter and Verse,Cleaned Text,Stemmed Text,Lemmatized Text
Surah Al-Baqarah,"Allah has set a seal on their hearts and on their hearings, (i.e. they are closed from accepting Allah’s Guidance), and on their eyes there is a covering. Theirs will be a great torment.",2:7,allah set seal hearts hearings ie closed accepting allahs guidance eyes covering great torment,allah set seal heart hear ie close accept allah guidanc eye cover great torment,allah set seal heart hearing ie closed accepting allah guidance eye covering great torment
Surah Al-Baqarah,"And of mankind, there are some (hypocrites) who say: “We believe in Allah and the Last Day” while in fact they believe not.",2:8,mankind hypocrites say believe allah last day fact believe,mankind hypocrit say believ allah last day fact believ,mankind hypocrite say believe allah last day fact believe
Surah Al-Baqarah,"They (think to) deceive Allah and those who believe, while they only deceive themselves, and perceive (it) not!",2:9,think deceive allah believe deceive perceive,think deceiv allah believ deceiv perceiv,think deceive allah believe deceive perceive
Surah Al-Baqarah,In their hearts is a disease (of doubt and hypocrisy) and Allah has increased their disease. A painful torment is theirs because they used to tell lies.,2:10,hearts disease doubt hypocrisy allah increased disease painful torment used tell lies,heart diseas doubt hypocrisi allah increas diseas pain torment use tell lie,heart disease doubt hypocrisy allah increased disease painful torment used tell lie
Surah Al-Baqarah,"And when it is said to them: “Make not mischief on the earth,” they say: “We are only peacemakers.”",2:11,said make mischief earth say peacemakers,said make mischief earth say peacemak,said make mischief earth say peacemaker
Surah Al-Baqarah,"Verily! They are the ones who make mischief, but they perceive not.",2:12,verily ones make mischief perceive,verili one make mischief perceiv,verily one make mischief perceive
Surah Al-Baqarah,"And when it is said to them (hypocrites): “Believe as the people (followers of Muhammad Peace be upon him , Al-Ansar and Al-Muhajirun) have believed,” they say: “Shall we believe as the fools have believed?” Verily, they are the fools, but they know not.",2:13,said hypocrites believe people followers muhammad peace upon alansar almuhajirun believed say shall believe fools believed verily fools know,said hypocrit believ peopl follow muhammad peac upon alansar almuhajirun believ say shall believ fool believ verili fool know,said hypocrite believe people follower muhammad peace upon alansar almuhajirun believed say shall believe fool believed verily fool know
Surah Al-Baqarah,"And when they meet those who believe, they say: “We believe,” but when they are alone with their Shayatin (devils – polytheists, hypocrites, etc.), they say: “Truly, we are with you; verily, we were but mocking.”",2:14,meet believe say believe alone shayatin devils polytheists hypocrites etc say truly verily mocking,meet believ say believ alon shayatin devil polytheist hypocrit etc say truli verili mock,meet believe say believe alone shayatin devil polytheist hypocrite etc say truly verily mocking
Surah Al-Baqarah,Allah mocks at them and gives them increase in their wrong-doings to wander blindly.,2:15,allah mocks gives increase wrongdoings wander blindly,allah mock give increas wrongdo wander blindli,allah mock give increase wrongdoing wander blindly
Surah Al-Baqarah,"These are they who have purchased error for guidance, so their commerce was profitless. And they were not guided.",2:16,purchased error guidance commerce profitless guided,purchas error guidanc commerc profitless guid,purchased error guidance commerce profitless guided
Surah Al-Baqarah,"Their likeness is as the likeness of one who kindled a fire; then, when it lighted all around him, Allah took away their light and left them in darkness. (So) they could not see.",2:17,likeness likeness one kindled fire lighted around allah took away light left darkness could see,like like one kindl fire light around allah took away light left dark could see,likeness likeness one kindled fire lighted around allah took away light left darkness could see
Surah Al-Baqarah,"They are deaf, dumb, and blind, so they return not (to the Right Path).",2:18,deaf dumb blind return right path,deaf dumb blind return right path,deaf dumb blind return right path
Surah Al-Baqarah,"Or like a rainstorm from the sky, wherein is darkness, thunder, and lightning. They thrust their fingers in their ears to keep out the stunning thunderclap for fear of death. But Allah ever encompasses the disbelievers (i.e. Allah will gather them all together).",2:19,like rainstorm sky wherein darkness thunder lightning thrust fingers ears keep stunning thunderclap fear death allah ever encompasses disbelievers ie allah gather together,like rainstorm sky wherein dark thunder lightn thrust finger ear keep stun thunderclap fear death allah ever encompass disbeliev ie allah gather togeth,like rainstorm sky wherein darkness thunder lightning thrust finger ear keep stunning thunderclap fear death allah ever encompasses disbeliever ie allah gather together
Surah Al-Baqarah,"The lightning almost snatches away their sight, whenever it flashes for them, they walk therein, and when darkness covers them, they stand still. And if Allah willed, He could have taken away their hearing and their sight. Certainly, Allah has power over all things.",2:20,lightning almost snatches away sight whenever flashes walk therein darkness covers stand still allah willed could taken away hearing sight certainly allah power things,lightn almost snatch away sight whenev flash walk therein dark cover stand still allah will could taken away hear sight certainli allah power thing,lightning almost snatch away sight whenever flash walk therein darkness cover stand still allah willed could taken away hearing sight certainly allah power thing
Surah Al-Baqarah,"O mankind! Worship your Lord (Allah), Who created you and those who were before you so that you may become Al-Muttaqun (the pious – see V.2:2).",2:21,mankind worship lord allah created may become almuttaqun pious see v,mankind worship lord allah creat may becom almuttaqun piou see v,mankind worship lord allah created may become almuttaqun pious see v
Surah Al-Baqarah,"Who has made the earth a resting place for you, and the sky as a canopy, and sent down water (rain) from the sky and brought forth therewith fruits as a provision for you. Then do not set up rivals unto Allah (in worship) while you know (that He Alone has the right to be worshipped).",2:22,made earth resting place sky canopy sent water rain sky brought forth therewith fruits provision set rivals unto allah worship know alone right worshipped,made earth rest place sky canopi sent water rain sky brought forth therewith fruit provis set rival unto allah worship know alon right worship,made earth resting place sky canopy sent water rain sky brought forth therewith fruit provision set rival unto allah worship know alone right worshipped
Surah Al-Baqarah,"And if you (Arab pagans, Jews, and Christians) are in doubt concerning that which We have sent down (i.e. the Qur’an) to Our slave (Muhammad Peace be upon him ), then produce a Surah (chapter) of the like thereof and call your witnesses (supporters and helpers) besides Allah, if you are truthful.",2:23,arab pagans jews christians doubt concerning sent ie quran slave muhammad peace upon produce surah chapter like thereof call witnesses supporters helpers besides allah truthful,arab pagan jew christian doubt concern sent ie quran slave muhammad peac upon produc surah chapter like thereof call wit support helper besid allah truth,arab pagan jew christian doubt concerning sent ie quran slave muhammad peace upon produce surah chapter like thereof call witness supporter helper besides allah truthful
Surah Al-Baqarah,"But if you do it not, and you can never do it, then fear the Fire (Hell) whose fuel is men and stones, prepared for the disbelievers.",2:24,never fear fire hell whose fuel men stones prepared disbelievers,never fear fire hell whose fuel men stone prepar disbeliev,never fear fire hell whose fuel men stone prepared disbeliever
Surah Al-Baqarah,"And give glad tidings to those who believe and do righteous good deeds, that for them will be Gardens under which rivers flow (Paradise). Every time they will be provided with a fruit therefrom, they will say: “This is what we were provided with before,” and they will be given things in resemblance (i.e. in the same form but different in taste) and they shall have therein Azwajun Mutahharatun (purified mates or wives), (having no menses, stools, urine, etc.) and they will abide therein forever.",2:25,give glad tidings believe righteous good deeds gardens rivers flow paradise every time provided fruit therefrom say provided given things resemblance ie form different taste shall therein azwajun mutahharatun purified mates wives menses stools urine etc abide therein forever,give glad tide believ righteou good deed garden river flow paradis everi time provid fruit therefrom say provid given thing resembl ie form differ tast shall therein azwajun mutahharatun purifi mate wive mens stool urin etc abid therein forev,give glad tidings believe righteous good deed garden river flow paradise every time provided fruit therefrom say provided given thing resemblance ie form different taste shall therein azwajun mutahharatun purified mate wife menses stool urine etc abide therein forever
Surah Al-Baqarah,"Verily, Allah is not ashamed to set forth a parable even of a mosquito or so much more when it is bigger (or less when it is smaller) than it. And as for those who believe, they know that it is the Truth from their Lord, but as for those who disbelieve, they say: “What did Allah intend by this parable?” By it He misleads many, and many He guides thereby. And He misleads thereby only those who are Al-Fasiqun (the rebellious, disobedient to Allah).",2:26,verily allah ashamed set forth parable even mosquito much bigger less smaller believe know truth lord disbelieve say allah intend parable misleads many many guides thereby misleads thereby alfasiqun rebellious disobedient allah,verili allah asham set forth parabl even mosquito much bigger less smaller believ know truth lord disbeliev say allah intend parabl mislead mani mani guid therebi mislead therebi alfasiqun rebelli disobedi allah,verily allah ashamed set forth parable even mosquito much bigger le smaller believe know truth lord disbelieve say allah intend parable misleads many many guide thereby misleads thereby alfasiqun rebellious disobedient allah
Surah Al-Baqarah,"Those who break Allah’s Covenant after ratifying it, and sever what Allah has ordered to be joined (as regards Allah’s Religion of Islamic Monotheism, and to practise its legal laws on the earth and also as regards keeping good relations with kith and kin ), and do mischief on earth, it is they who are the losers.",2:27,break allahs covenant ratifying sever allah ordered joined regards allahs religion islamic monotheism practise legal laws earth also regards keeping good relations kith kin mischief earth losers,break allah coven ratifi sever allah order join regard allah religion islam monoth practis legal law earth also regard keep good relat kith kin mischief earth loser,break allah covenant ratifying sever allah ordered joined regard allah religion islamic monotheism practise legal law earth also regard keeping good relation kith kin mischief earth loser
Surah Al-Baqarah,"How can you disbelieve in Allah? Seeing that you were dead and He gave you life. Then He will give you death, then again will bring you to life (on the Day of Resurrection) and then unto Him you will return.",2:28,disbelieve allah seeing dead gave life give death bring life day resurrection unto return,disbeliev allah see dead gave life give death bring life day resurrect unto return,disbelieve allah seeing dead gave life give death bring life day resurrection unto return
Surah Al-Baqarah,He it is Who created for you all that is on earth. Then He Istawa (rose over) towards the heaven and made them seven heavens and He is the All-Knower of everything.,2:29,created earth istawa rose towards heaven made seven heavens allknower everything,creat earth istawa rose toward heaven made seven heaven allknow everyth,created earth istawa rose towards heaven made seven heaven allknower everything
Surah Al-Baqarah,"And (remember) when your Lord said to the angels: “Verily, I am going to place (mankind) generations after generations on earth.” They said: “Will You place therein those who will make mischief therein and shed blood, – while we glorify You with praises and thanks (Exalted be You above all that they associate with You as partners) and sanctify You.” He (Allah) said: “I know that which you do not know.”",2:30,remember lord said angels verily going place mankind generations generations earth said place therein make mischief therein shed blood glorify praises thanks exalted associate partners sanctify allah said know know,rememb lord said angel verili go place mankind gener gener earth said place therein make mischief therein shed blood glorifi prais thank exalt associ partner sanctifi allah said know know,remember lord said angel verily going place mankind generation generation earth said place therein make mischief therein shed blood glorify praise thanks exalted associate partner sanctify allah said know know
Surah Al-Baqarah,"And He taught Adam all the names (of everything) , then He showed them to the angels and said, “Tell Me the names of these if you are truthful.”",2:31,taught adam names everything showed angels said tell names truthful,taught adam name everyth show angel said tell name truth,taught adam name everything showed angel said tell name truthful
Surah Al-Baqarah,"They (angels) said: “Glory be to You, we have no knowledge except what you have taught us. Verily, it is You, the All-Knower, the All-Wise.”",2:32,angels said glory knowledge except taught us verily allknower allwise,angel said glori knowledg except taught us verili allknow allwis,angel said glory knowledge except taught u verily allknower allwise
Surah Al-Baqarah,"He said: “O Adam! Inform them of their names,” and when he had informed them of their names, He said: “Did I not tell you that I know the Ghaib (unseen) in the heavens and the earth, and I know what you reveal and what you have been concealing?”",2:33,said adam inform names informed names said tell know ghaib unseen heavens earth know reveal concealing,said adam inform name inform name said tell know ghaib unseen heaven earth know reveal conceal,said adam inform name informed name said tell know ghaib unseen heaven earth know reveal concealing
Surah Al-Baqarah,"And (remember) when We said to the angels: “Prostrate yourselves before Adam.”. And they prostrated except Iblis (Satan), he refused and was proud and was one of the disbelievers (disobedient to Allah).",2:34,remember said angels prostrate adam prostrated except iblis satan refused proud one disbelievers disobedient allah,rememb said angel prostrat adam prostrat except ibli satan refus proud one disbeliev disobedi allah,remember said angel prostrate adam prostrated except iblis satan refused proud one disbeliever disobedient allah
Surah Al-Baqarah,"And We said: “O Adam! Dwell you and your wife in the Paradise and eat both of you freely with pleasure and delight of things therein as wherever you will, but come not near this tree or you both will be of the Zalimun (wrong-doers).”",2:35,said adam dwell wife paradise eat freely pleasure delight things therein wherever come near tree zalimun wrongdoers,said adam dwell wife paradis eat freeli pleasur delight thing therein wherev come near tree zalimun wrongdoer,said adam dwell wife paradise eat freely pleasure delight thing therein wherever come near tree zalimun wrongdoer
Surah Al-Baqarah,"Then the Shaitan (Satan) made them slip therefrom (the Paradise), and got them out from that in which they were. We said: “Get you down, all, with enmity between yourselves. On earth will be a dwelling place for you and an enjoyment for a time.”",2:36,shaitan satan made slip therefrom paradise got said get enmity earth dwelling place enjoyment time,shaitan satan made slip therefrom paradis got said get enmiti earth dwell place enjoy time,shaitan satan made slip therefrom paradise got said get enmity earth dwelling place enjoyment time
Surah Al-Baqarah,"Then Adam received from his Lord Words . And his Lord pardoned him (accepted his repentance). Verily, He is the One Who forgives (accepts repentance), the Most Merciful.",2:37,adam received lord words lord pardoned accepted repentance verily one forgives accepts repentance merciful,adam receiv lord word lord pardon accept repent verili one forgiv accept repent merci,adam received lord word lord pardoned accepted repentance verily one forgives accepts repentance merciful
Surah Al-Baqarah,"We said: “Get down all of you from this place (the Paradise), then whenever there comes to you Guidance from Me, and whoever follows My Guidance, there shall be no fear on them, nor shall they grieve.",2:38,said get place paradise whenever comes guidance whoever follows guidance shall fear shall grieve,said get place paradis whenev come guidanc whoever follow guidanc shall fear shall griev,said get place paradise whenever come guidance whoever follows guidance shall fear shall grieve
Surah Al-Baqarah,"But those who disbelieve and belie Our Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) such are the dwellers of the Fire, they shall abide therein forever.",2:39,disbelieve belie ayat proofs evidences verses lessons signs revelations etc dwellers fire shall abide therein forever,disbeliev beli ayat proof evid vers lesson sign revel etc dweller fire shall abid therein forev,disbelieve belie ayat proof evidence verse lesson sign revelation etc dweller fire shall abide therein forever
Surah Al-Baqarah,"O Children of Israel! Remember My Favour which I bestowed upon you, and fulfill (your obligations to) My Covenant (with you) so that I fulfill (My Obligations to) your covenant (with Me), and fear none but Me.",2:40,children israel remember favour bestowed upon fulfill obligations covenant fulfill obligations covenant fear none,children israel rememb favour bestow upon fulfil oblig coven fulfil oblig coven fear none,child israel remember favour bestowed upon fulfill obligation covenant fulfill obligation covenant fear none
Surah Al-Baqarah,"And believe in what I have sent down (this Qur’an), confirming that which is with you, [the Taurat (Torah) and the Injeel (Gospel)], and be not the first to disbelieve therein, and buy not with My Verses [the Taurat (Torah) and the Injeel (Gospel)] a small price (i.e. getting a small gain by selling My Verses), and fear Me and Me Alone. (Tafsir At-Tabari, Vol. I, Page 253).",2:41,believe sent quran confirming taurat torah injeel gospel first disbelieve therein buy verses taurat torah injeel gospel small price ie getting small gain selling verses fear alone tafsir attabari vol page,believ sent quran confirm taurat torah injeel gospel first disbeliev therein buy vers taurat torah injeel gospel small price ie get small gain sell vers fear alon tafsir attabari vol page,believe sent quran confirming taurat torah injeel gospel first disbelieve therein buy verse taurat torah injeel gospel small price ie getting small gain selling verse fear alone tafsir attabari vol page
Surah Al-Baqarah,"And mix not truth with falsehood, nor conceal the truth [i.e. Muhammad Peace be upon him is Allah’s Messenger and his qualities are written in your Scriptures, the Taurat (Torah) and the Injeel (Gospel)] while you know (the truth) .",2:42,mix truth falsehood conceal truth ie muhammad peace upon allahs messenger qualities written scriptures taurat torah injeel gospel know truth,mix truth falsehood conceal truth ie muhammad peac upon allah messeng qualiti written scriptur taurat torah injeel gospel know truth,mix truth falsehood conceal truth ie muhammad peace upon allah messenger quality written scripture taurat torah injeel gospel know truth
Surah Al-Baqarah,"And perform As-Salat (Iqamat-as-Salat), and give Zakat, and Irka’ (i.e. bow down or submit yourselves with obedience to Allah) along with Ar-Raki’un.",2:43,perform assalat iqamatassalat give zakat irka ie bow submit obedience allah along arrakiun,perform assalat iqamatassalat give zakat irka ie bow submit obedi allah along arrakiun,perform assalat iqamatassalat give zakat irka ie bow submit obedience allah along arrakiun
Surah Al-Baqarah,"Enjoin you Al-Birr (piety and righteousness and each and every act of obedience to Allah) on the people and you forget (to practise it) yourselves, while you recite the Scripture [the Taurat (Torah)]! Have you then no sense?",2:44,enjoin albirr piety righteousness every act obedience allah people forget practise recite scripture taurat torah sense,enjoin albirr pieti righteous everi act obedi allah peopl forget practis recit scriptur taurat torah sens,enjoin albirr piety righteousness every act obedience allah people forget practise recite scripture taurat torah sense
Surah Al-Baqarah,"And seek help in patience and As-Salat (the prayer) and truly it is extremely heavy and hard except for Al-Khashi’un [i.e. the true believers in Allah – those who obey Allah with full submission, fear much from His Punishment, and believe in His Promise (Paradise, etc.) and in His Warnings (Hell, etc.)].",2:45,seek help patience assalat prayer truly extremely heavy hard except alkhashiun ie true believers allah obey allah full submission fear much punishment believe promise paradise etc warnings hell etc,seek help patienc assalat prayer truli extrem heavi hard except alkhashiun ie true believ allah obey allah full submiss fear much punish believ promis paradis etc warn hell etc,seek help patience assalat prayer truly extremely heavy hard except alkhashiun ie true believer allah obey allah full submission fear much punishment believe promise paradise etc warning hell etc
Surah Al-Baqarah,"(They are those) who are certain that they are going to meet their Lord, and that unto Him they are going to return.",2:46,certain going meet lord unto going return,certain go meet lord unto go return,certain going meet lord unto going return
Surah Al-Baqarah,"O Children of Israel! Remember My Favour which I bestowed upon you and that I preferred you to the ‘Alamin (mankind and jinns) (of your time period, in the past).",2:47,children israel remember favour bestowed upon preferred alamin mankind jinns time period past,children israel rememb favour bestow upon prefer alamin mankind jinn time period past,child israel remember favour bestowed upon preferred alamin mankind jinns time period past
Surah Al-Baqarah,"And fear a Day (of Judgement) when a person shall not avail another, nor will intercession be accepted from him nor will compensation be taken from him nor will they be helped.",2:48,fear day judgement person shall avail another intercession accepted compensation taken helped,fear day judgement person shall avail anoth intercess accept compens taken help,fear day judgement person shall avail another intercession accepted compensation taken helped
Surah Al-Baqarah,"And (remember) when We delivered you from Fir’aun’s (Pharaoh) people, who were afflicting you with a horrible torment, killing your sons and sparing your women, and therein was a mighty trial from your Lord.",2:49,remember delivered firauns pharaoh people afflicting horrible torment killing sons sparing women therein mighty trial lord,rememb deliv firaun pharaoh peopl afflict horribl torment kill son spare women therein mighti trial lord,remember delivered firauns pharaoh people afflicting horrible torment killing son sparing woman therein mighty trial lord
Surah Al-Baqarah,"And (remember) when We separated the sea for you and saved you and drowned Fir’aun’s (Pharaoh) people while you were looking (at them, when the sea-water covered them).",2:50,remember separated sea saved drowned firauns pharaoh people looking seawater covered,rememb separ sea save drown firaun pharaoh peopl look seawat cover,remember separated sea saved drowned firauns pharaoh people looking seawater covered
Surah Al-Baqarah,"And (remember) when We appointed for Musa (Moses) forty nights, and (in his absence) you took the calf (for worship), and you were Zalimun (polytheists and wrong-doers, etc.).",2:51,remember appointed musa moses forty nights absence took calf worship zalimun polytheists wrongdoers etc,rememb appoint musa mose forti night absenc took calf worship zalimun polytheist wrongdoer etc,remember appointed musa moses forty night absence took calf worship zalimun polytheist wrongdoer etc
Surah Al-Baqarah,Then after that We forgave you so that you might be grateful.,2:52,forgave might grateful,forgav might grate,forgave might grateful
Surah Al-Baqarah,And (remember) when We gave Musa (Moses) the Scripture [the Taurat (Torah)] and the criterion (of right and wrong) so that you may be guided aright.,2:53,remember gave musa moses scripture taurat torah criterion right wrong may guided aright,rememb gave musa mose scriptur taurat torah criterion right wrong may guid aright,remember gave musa moses scripture taurat torah criterion right wrong may guided aright
Surah Al-Baqarah,"And (remember) when Musa (Moses) said to his people: “O my people! Verily, you have wronged yourselves by worshipping the calf. So turn in repentance to your Creator and kill yourselves (the innocent kill the wrongdoers among you), that will be better for you with your Lord.” Then He accepted your repentance. Truly, He is the One Who accepts repentance, the Most Merciful.",2:54,remember musa moses said people people verily wronged worshipping calf turn repentance creator kill innocent kill wrongdoers among better lord accepted repentance truly one accepts repentance merciful,rememb musa mose said peopl peopl verili wrong worship calf turn repent creator kill innoc kill wrongdoer among better lord accept repent truli one accept repent merci,remember musa moses said people people verily wronged worshipping calf turn repentance creator kill innocent kill wrongdoer among better lord accepted repentance truly one accepts repentance merciful
Surah Al-Baqarah,And (remember) when you said: “O Musa (Moses)! We shall never believe in you till we see Allah plainly.” But you were seized with a thunderbolt (lightning) while you were looking.,2:55,remember said musa moses shall never believe till see allah plainly seized thunderbolt lightning looking,rememb said musa mose shall never believ till see allah plainli seiz thunderbolt lightn look,remember said musa moses shall never believe till see allah plainly seized thunderbolt lightning looking
Surah Al-Baqarah,"Then We raised you up after your death, so that you might be grateful.",2:56,raised death might grateful,rais death might grate,raised death might grateful
Surah Al-Baqarah,"And We shaded you with clouds and sent down on you Al-Manna and the quails, (saying): “Eat of the good lawful things We have provided for you,” (but they rebelled). And they did not wrong Us but they wronged themselves.",2:57,shaded clouds sent almanna quails saying eat good lawful things provided rebelled wrong us wronged,shade cloud sent almanna quail say eat good law thing provid rebel wrong us wrong,shaded cloud sent almanna quail saying eat good lawful thing provided rebelled wrong u wronged
Surah Al-Baqarah,"And (remember) when We said: “Enter this town (Jerusalem) and eat bountifully therein with pleasure and delight wherever you wish, and enter the gate in prostration (or bowing with humility) and say: ‘Forgive us,’ and We shall forgive you your sins and shall increase (reward) for the good-doers.”",2:58,remember said enter town jerusalem eat bountifully therein pleasure delight wherever wish enter gate prostration bowing humility say forgive us shall forgive sins shall increase reward gooddoers,rememb said enter town jerusalem eat bounti therein pleasur delight wherev wish enter gate prostrat bow humil say forgiv us shall forgiv sin shall increas reward gooddoer,remember said enter town jerusalem eat bountifully therein pleasure delight wherever wish enter gate prostration bowing humility say forgive u shall forgive sin shall increase reward gooddoers
Surah Al-Baqarah,"But those who did wrong changed the word from that which had been told to them for another, so We sent upon the wrong-doers Rijzan (a punishment) from the heaven because of their rebelling against Allah’s Obedience. (Tafsir At-Tabari, Vol. I, Page 305).",2:59,wrong changed word told another sent upon wrongdoers rijzan punishment heaven rebelling allahs obedience tafsir attabari vol page,wrong chang word told anoth sent upon wrongdoer rijzan punish heaven rebel allah obedi tafsir attabari vol page,wrong changed word told another sent upon wrongdoer rijzan punishment heaven rebelling allah obedience tafsir attabari vol page
Surah Al-Baqarah,"And (remember) when Musa (Moses) asked for water for his people, We said: “Strike the stone with your stick.” Then gushed forth therefrom twelve springs. Each (group of) people knew its own place for water. “Eat and drink of that which Allah has provided and do not act corruptly, making mischief on the earth.”",2:60,remember musa moses asked water people said strike stone stick gushed forth therefrom twelve springs group people knew place water eat drink allah provided act corruptly making mischief earth,rememb musa mose ask water peopl said strike stone stick gush forth therefrom twelv spring group peopl knew place water eat drink allah provid act corruptli make mischief earth,remember musa moses asked water people said strike stone stick gushed forth therefrom twelve spring group people knew place water eat drink allah provided act corruptly making mischief earth
Surah Al-Baqarah,"And (remember) when you said, “O Musa (Moses)! We cannot endure one kind of food. So invoke your Lord for us to bring forth for us of what the earth grows, its herbs, its cucumbers, its Fum (wheat or garlic), its lentils and its onions.” He said, “Would you exchange that which is better for that which is lower? Go you down to any town and you shall find what you want!” And they were covered with humiliation and misery, and they drew on themselves the Wrath of Allah. That was because they used to disbelieve the Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) of Allah and killed the Prophets wrongfully. That was because they disobeyed and used to transgress the bounds (in their disobedience to Allah, i.e. commit crimes and sins).",2:61,remember said musa moses endure one kind food invoke lord us bring forth us earth grows herbs cucumbers fum wheat garlic lentils onions said would exchange better lower go town shall find want covered humiliation misery drew wrath allah used disbelieve ayat proofs evidences verses lessons signs revelations etc allah killed prophets wrongfully disobeyed used transgress bounds disobedience allah ie commit crimes sins,rememb said musa mose endur one kind food invok lord us bring forth us earth grow herb cucumb fum wheat garlic lentil onion said would exchang better lower go town shall find want cover humili miseri drew wrath allah use disbeliev ayat proof evid vers lesson sign revel etc allah kill prophet wrong disobey use transgress bound disobedi allah ie commit crime sin,remember said musa moses endure one kind food invoke lord u bring forth u earth grows herb cucumber fum wheat garlic lentil onion said would exchange better lower go town shall find want covered humiliation misery drew wrath allah used disbelieve ayat proof evidence verse lesson sign revelation etc allah killed prophet wrongfully disobeyed used transgress bound disobedience allah ie commit crime sin
Surah Al-Baqarah,"Verily! Those who believe and those who are Jews and Christians, and Sabians, whoever believes in Allah and the Last Day and do righteous good deeds shall have their reward with their Lord, on them shall be no fear, nor shall they grieve .",2:62,verily believe jews christians sabians whoever believes allah last day righteous good deeds shall reward lord shall fear shall grieve,verili believ jew christian sabian whoever believ allah last day righteou good deed shall reward lord shall fear shall griev,verily believe jew christian sabians whoever belief allah last day righteous good deed shall reward lord shall fear shall grieve
