Surah Name,Verse Translation,Number Chapter and Verse,Extracted Keywords
Surah Al-Baqarah,"And if you (Arab pagans, Jews, and Christians) are in doubt concerning that which We have sent down (i.e. the Qur’an) to Our slave (Muhammad Peace be upon him ), then produce a Surah (chapter) of the like thereof and call your witnesses (supporters and helpers) besides Allah, if you are truthful.",2:23,"['qur ’', 'muhammad peace', 'like thereof', 'doubt concerning', 'besides allah', 'arab pagans', 'witnesses', 'upon', 'truthful', 'surah', 'supporters', 'slave', 'sent', 'produce', 'jews', 'helpers', 'e', 'christians', 'chapter', 'call', '),']"
Surah Al-Baqarah,"But if you do it not, and you can never do it, then fear the Fire (Hell) whose fuel is men and stones, prepared for the disbelievers.",2:24,"['whose fuel', 'stones', 'prepared', 'never', 'men', 'hell', 'fire', 'fear', 'disbelievers']"
Surah Al-Baqarah,"And give glad tidings to those who believe and do righteous good deeds, that for them will be Gardens under which rivers flow (Paradise). Every time they will be provided with a fruit therefrom, they will say: “This is what we were provided with before,” and they will be given things in resemblance (i.e. in the same form but different in taste) and they shall have therein Azwajun Mutahharatun (purified mates or wives), (having no menses, stools, urine, etc.) and they will abide therein forever.",2:25,"['therein azwajun mutahharatun', 'righteous good deeds', 'give glad tidings', 'abide therein forever', 'wives ),', 'rivers flow', 'purified mates', 'paradise ).', 'given things', 'fruit therefrom', 'every time', 'etc .)', '“', 'urine', 'taste', 'stools', 'shall', 'say', 'resemblance', 'provided', 'provided', 'menses', 'gardens', 'form', 'e', 'different', 'believe', ',”']"
Surah Al-Baqarah,"Verily, Allah is not ashamed to set forth a parable even of a mosquito or so much more when it is bigger (or less when it is smaller) than it. And as for those who believe, they know that it is the Truth from their Lord, but as for those who disbelieve, they say: “What did Allah intend by this parable?” By it He misleads many, and many He guides thereby. And He misleads thereby only those who are Al-Fasiqun (the rebellious, disobedient to Allah).",2:26,"['set forth', 'parable even', 'parable ?”', 'misleads thereby', 'guides thereby', 'allah intend', 'allah ).', 'misleads many', 'allah', 'many', '“', 'verily', 'truth', 'smaller', 'say', 'rebellious', 'much', 'mosquito', 'lord', 'less', 'know', 'fasiqun', 'disobedient', 'disbelieve', 'bigger', 'believe', 'ashamed', 'al']"
Surah Al-Baqarah,"Those who break Allah’s Covenant after ratifying it, and sever what Allah has ordered to be joined (as regards Allah’s Religion of Islamic Monotheism, and to practise its legal laws on the earth and also as regards keeping good relations with kith and kin ), and do mischief on earth, it is they who are the losers.",2:27,"['regards keeping good relations', 'regards allah ’', 'break allah ’', 'legal laws', 'kin ),', 'islamic monotheism', 'allah', 'sever', 'religion', 'ratifying', 'practise', 'ordered', 'mischief', 'losers', 'kith', 'joined', 'earth', 'earth', 'covenant', 'also']"
Surah Al-Baqarah,"How can you disbelieve in Allah? Seeing that you were dead and He gave you life. Then He will give you death, then again will bring you to life (on the Day of Resurrection) and then unto Him you will return.",2:28,"['unto', 'seeing', 'return', 'resurrection', 'life', 'life', 'give', 'gave', 'disbelieve', 'death', 'dead', 'day', 'bring', 'allah']"
Surah Al-Baqarah,He it is Who created for you all that is on earth. Then He Istawa (rose over) towards the heaven and made them seven heavens and He is the All-Knower of everything.,2:29,"['seven heavens', 'towards', 'rose', 'made', 'knower', 'istawa', 'heaven', 'everything', 'earth', 'created']"
Surah Al-Baqarah,"And (remember) when your Lord said to the angels: “Verily, I am going to place (mankind) generations after generations on earth.” They said: “Will You place therein those who will make mischief therein and shed blood, – while we glorify You with praises and thanks (Exalted be You above all that they associate with You as partners) and sanctify You.” He (Allah) said: “I know that which you do not know.”",2:30,"['make mischief therein', 'shed blood', 'place therein', 'earth .”', '“ verily', 'lord said', 'know .”', '.”', 'place', 'know', '“', '“', 'said', 'said', '–', 'thanks', 'sanctify', 'remember', 'praises', 'partners', 'mankind', 'going', 'glorify', 'generations', 'generations', 'exalted', 'associate', 'angels', 'allah']"
Surah Al-Baqarah,"And He taught Adam all the names (of everything) , then He showed them to the angels and said, “Tell Me the names of these if you are truthful.”",2:31,"['“ tell', 'truthful .”', 'taught adam', 'showed', 'said', 'names', 'names', 'everything', 'angels']"
Surah Al-Baqarah,"They (angels) said: “Glory be to You, we have no knowledge except what you have taught us. Verily, it is You, the All-Knower, the All-Wise.”",2:32,"['“ glory', 'wise .”', 'taught us', 'knowledge except', 'verily', 'said', 'knower', 'angels']"
Surah Al-Baqarah,"He said: “O Adam! Inform them of their names,” and when he had informed them of their names, He said: “Did I not tell you that I know the Ghaib (unseen) in the heavens and the earth, and I know what you reveal and what you have been concealing?”",2:33,"['concealing ?”', 'names ,”', 'names', '“', '“', 'unseen', 'tell', 'said', 'said', 'reveal', 'know', 'know', 'informed', 'inform', 'heavens', 'ghaib', 'earth', 'adam']"
Surah Al-Baqarah,"And (remember) when We said to the angels: “Prostrate yourselves before Adam.”. And they prostrated except Iblis (Satan), he refused and was proud and was one of the disbelievers (disobedient to Allah).",2:34,"['prostrated except iblis', '“ prostrate', 'satan ),', 'allah ).', 'adam .”.', 'said', 'remember', 'refused', 'proud', 'one', 'disobedient', 'disbelievers', 'angels']"
Surah Al-Baqarah,"And We said: “O Adam! Dwell you and your wife in the Paradise and eat both of you freely with pleasure and delight of things therein as wherever you will, but come not near this tree or you both will be of the Zalimun (wrong-doers).”",2:35,"['things therein', 'doers ).”', '“', 'zalimun', 'wrong', 'wife', 'wherever', 'tree', 'said', 'pleasure', 'paradise', 'near', 'freely', 'eat', 'dwell', 'delight', 'come', 'adam']"
Surah Al-Baqarah,"Then the Shaitan (Satan) made them slip therefrom (the Paradise), and got them out from that in which they were. We said: “Get you down, all, with enmity between yourselves. On earth will be a dwelling place for you and an enjoyment for a time.”",2:36,"['“ get', 'time .”', 'slip therefrom', 'paradise ),', 'dwelling place', 'shaitan', 'satan', 'said', 'made', 'got', 'enmity', 'enjoyment', 'earth']"
Surah Al-Baqarah,"Then Adam received from his Lord Words . And his Lord pardoned him (accepted his repentance). Verily, He is the One Who forgives (accepts repentance), the Most Merciful.",2:37,"['accepts repentance ),', 'repentance ).', 'lord words', 'lord pardoned', 'adam received', 'verily', 'one', 'merciful', 'forgives', 'accepted']"
Surah Al-Baqarah,"We said: “Get down all of you from this place (the Paradise), then whenever there comes to you Guidance from Me, and whoever follows My Guidance, there shall be no fear on them, nor shall they grieve.",2:38,"['“ get', 'whoever follows', 'paradise ),', 'whenever', 'shall', 'shall', 'said', 'place', 'guidance', 'guidance', 'grieve', 'fear', 'comes']"
Surah Al-Baqarah,"But those who disbelieve and belie Our Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) such are the dwellers of the Fire, they shall abide therein forever.",2:39,"['shall abide therein forever', 'etc .)', 'verses', 'signs', 'revelations', 'proofs', 'lessons', 'fire', 'evidences', 'dwellers', 'disbelieve', 'belie', 'ayat']"
Surah Al-Baqarah,"O Children of Israel! Remember My Favour which I bestowed upon you, and fulfill (your obligations to) My Covenant (with you) so that I fulfill (My Obligations to) your covenant (with Me), and fear none but Me.",2:40,"['fear none', 'bestowed upon', 'remember', 'obligations', 'obligations', 'israel', 'fulfill', 'fulfill', 'favour', 'covenant', 'covenant', 'children', '),']"
Surah Al-Baqarah,"And believe in what I have sent down (this Qur’an), confirming that which is with you, [the Taurat (Torah) and the Injeel (Gospel)], and be not the first to disbelieve therein, and buy not with My Verses [the Taurat (Torah) and the Injeel (Gospel)] a small price (i.e. getting a small gain by selling My Verses), and fear Me and Me Alone. (Tafsir At-Tabari, Vol. I, Page 253).",2:41,"['page 253 ).', 'small price', 'small gain', 'qur ’', 'gospel )],', 'gospel )]', 'disbelieve therein', '), confirming', 'verses ),', 'verses', 'vol', 'torah', 'torah', 'taurat', 'taurat', 'tafsir', 'tabari', 'sent', 'selling', 'injeel', 'injeel', 'getting', 'first', 'fear', 'e', 'buy', 'believe', 'alone']"
Surah Al-Baqarah,"And mix not truth with falsehood, nor conceal the truth [i.e. Muhammad Peace be upon him is Allah’s Messenger and his qualities are written in your Scriptures, the Taurat (Torah) and the Injeel (Gospel)] while you know (the truth) .",2:42,"['muhammad peace', 'gospel )]', 'allah ’', 'written', 'upon', 'truth', 'truth', 'truth', 'torah', 'taurat', 'scriptures', 'qualities', 'mix', 'messenger', 'know', 'injeel', 'falsehood', 'e', 'conceal']"
Surah Al-Baqarah,"And perform As-Salat (Iqamat-as-Salat), and give Zakat, and Irka’ (i.e. bow down or submit yourselves with obedience to Allah) along with Ar-Raki’un.",2:43,"['raki ’ un', 'irka ’', 'give zakat', 'salat ),', 'salat', 'submit', 'perform', 'obedience', 'iqamat', 'e', 'bow', 'ar', 'along', 'allah']"
Surah Al-Baqarah,"Enjoin you Al-Birr (piety and righteousness and each and every act of obedience to Allah) on the people and you forget (to practise it) yourselves, while you recite the Scripture [the Taurat (Torah)]! Have you then no sense?",2:44,"['torah )]!', 'every act', 'taurat', 'sense', 'scripture', 'righteousness', 'recite', 'practise', 'piety', 'people', 'obedience', 'forget', 'enjoin', 'birr', 'allah', 'al']"
Surah Al-Baqarah,"And seek help in patience and As-Salat (the prayer) and truly it is extremely heavy and hard except for Al-Khashi’un [i.e. the true believers in Allah – those who obey Allah with full submission, fear much from His Punishment, and believe in His Promise (Paradise, etc.) and in His Warnings (Hell, etc.)].",2:45,"['khashi ’ un', 'true believers', 'seek help', 'obey allah', 'hard except', 'full submission', 'fear much', 'extremely heavy', 'allah –', 'etc .)', 'etc', 'warnings', 'truly', 'salat', 'punishment', 'promise', 'prayer', 'patience', 'paradise', 'hell', 'e', 'believe', 'al', ')].']"
Surah Al-Baqarah,"(They are those) who are certain that they are going to meet their Lord, and that unto Him they are going to return.",2:46,"['unto', 'return', 'meet', 'lord', 'going', 'going', 'certain']"
Surah Al-Baqarah,"O Children of Israel! Remember My Favour which I bestowed upon you and that I preferred you to the ‘Alamin (mankind and jinns) (of your time period, in the past).",2:47,"['‘ alamin', 'time period', 'past ).', 'bestowed upon', 'remember', 'preferred', 'mankind', 'jinns', 'israel', 'favour', 'children']"
Surah Al-Baqarah,"And fear a Day (of Judgement) when a person shall not avail another, nor will intercession be accepted from him nor will compensation be taken from him nor will they be helped.",2:48,"['person shall', 'avail another', 'taken', 'judgement', 'intercession', 'helped', 'fear', 'day', 'compensation', 'accepted']"
Surah Al-Baqarah,"And (remember) when We delivered you from Fir’aun’s (Pharaoh) people, who were afflicting you with a horrible torment, killing your sons and sparing your women, and therein was a mighty trial from your Lord.",2:49,"['fir ’ aun ’', 'mighty trial', 'horrible torment', 'women', 'therein', 'sparing', 'sons', 'remember', 'pharaoh', 'people', 'lord', 'killing', 'delivered', 'afflicting']"
Surah Al-Baqarah,"And (remember) when We separated the sea for you and saved you and drowned Fir’aun’s (Pharaoh) people while you were looking (at them, when the sea-water covered them).",2:50,"['drowned fir ’ aun ’', 'water covered', 'separated', 'sea', 'sea', 'saved', 'remember', 'pharaoh', 'people', 'looking', ').']"
Surah Al-Baqarah,"And (remember) when We appointed for Musa (Moses) forty nights, and (in his absence) you took the calf (for worship), and you were Zalimun (polytheists and wrong-doers, etc.).",2:51,"['worship ),', 'forty nights', 'zalimun', 'wrong', 'took', 'remember', 'polytheists', 'musa', 'moses', 'etc', 'doers', 'calf', 'appointed', 'absence', ').']"
Surah Al-Baqarah,Then after that We forgave you so that you might be grateful.,2:52,"['might', 'grateful', 'forgave']"
Surah Al-Baqarah,And (remember) when We gave Musa (Moses) the Scripture [the Taurat (Torah)] and the criterion (of right and wrong) so that you may be guided aright.,2:53,"['torah )]', 'guided aright', 'gave musa', 'wrong', 'taurat', 'scripture', 'right', 'remember', 'moses', 'may', 'criterion']"
Surah Al-Baqarah,"And (remember) when Musa (Moses) said to his people: “O my people! Verily, you have wronged yourselves by worshipping the calf. So turn in repentance to your Creator and kill yourselves (the innocent kill the wrongdoers among you), that will be better for you with your Lord.” Then He accepted your repentance. Truly, He is the One Who accepts repentance, the Most Merciful.",2:54,"['wrongdoers among', 'lord .”', 'innocent kill', 'accepts repentance', 'kill', 'repentance', 'repentance', '“', 'wronged', 'worshipping', 'verily', 'turn', 'truly', 'said', 'remember', 'people', 'people', 'one', 'musa', 'moses', 'merciful', 'creator', 'calf', 'better', 'accepted', '),']"
Surah Al-Baqarah,And (remember) when you said: “O Musa (Moses)! We shall never believe in you till we see Allah plainly.” But you were seized with a thunderbolt (lightning) while you were looking.,2:55,"['see allah plainly .”', 'shall never believe', 'moses )!', '“', 'till', 'thunderbolt', 'seized', 'said', 'remember', 'musa', 'looking', 'lightning']"
Surah Al-Baqarah,"Then We raised you up after your death, so that you might be grateful.",2:56,"['raised', 'might', 'grateful', 'death']"
Surah Al-Baqarah,"And We shaded you with clouds and sent down on you Al-Manna and the quails, (saying): “Eat of the good lawful things We have provided for you,” (but they rebelled). And they did not wrong Us but they wronged themselves.",2:57,"['saying ): “ eat', 'good lawful things', 'wrong us', 'rebelled ).', 'wronged', 'shaded', 'sent', 'quails', 'provided', 'manna', 'clouds', 'al', ',”']"
Surah Al-Baqarah,"And (remember) when We said: “Enter this town (Jerusalem) and eat bountifully therein with pleasure and delight wherever you wish, and enter the gate in prostration (or bowing with humility) and say: ‘Forgive us,’ and We shall forgive you your sins and shall increase (reward) for the good-doers.”",2:58,"['‘ forgive us ,’', 'eat bountifully therein', 'shall forgive', 'shall increase', 'doers .”', 'delight wherever', '“ enter', 'enter', 'wish', 'town', 'sins', 'say', 'said', 'reward', 'remember', 'prostration', 'pleasure', 'jerusalem', 'humility', 'good', 'gate', 'bowing']"
Surah Al-Baqarah,"But those who did wrong changed the word from that which had been told to them for another, so We sent upon the wrong-doers Rijzan (a punishment) from the heaven because of their rebelling against Allah’s Obedience. (Tafsir At-Tabari, Vol. I, Page 305).",2:59,"['page 305 ).', 'sent upon', 'doers rijzan', 'allah ’', 'wrong changed', 'wrong', 'word', 'vol', 'told', 'tafsir', 'tabari', 'rebelling', 'punishment', 'obedience', 'heaven', 'another']"
Surah Al-Baqarah,"And (remember) when Musa (Moses) asked for water for his people, We said: “Strike the stone with your stick.” Then gushed forth therefrom twelve springs. Each (group of) people knew its own place for water. “Eat and drink of that which Allah has provided and do not act corruptly, making mischief on the earth.”",2:60,"['gushed forth therefrom twelve springs', '“ strike', '“ eat', 'stick .”', 'making mischief', 'earth .”', 'act corruptly', 'people knew', 'people', 'water', 'water', 'stone', 'said', 'remember', 'provided', 'place', 'musa', 'moses', 'group', 'drink', 'asked', 'allah']"
Surah Al-Baqarah,"And (remember) when you said, “O Musa (Moses)! We cannot endure one kind of food. So invoke your Lord for us to bring forth for us of what the earth grows, its herbs, its cucumbers, its Fum (wheat or garlic), its lentils and its onions.” He said, “Would you exchange that which is better for that which is lower? Go you down to any town and you shall find what you want!” And they were covered with humiliation and misery, and they drew on themselves the Wrath of Allah. That was because they used to disbelieve the Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) of Allah and killed the Prophets wrongfully. That was because they disobeyed and used to transgress the bounds (in their disobedience to Allah, i.e. commit crimes and sins).",2:61,"['cannot endure one kind', 'want !”', 'sins ).', 'shall find', 'prophets wrongfully', 'onions .”', 'moses )!', 'garlic ),', 'etc .)', 'earth grows', 'commit crimes', 'bring forth', '“ would', '“', 'wrath', 'wheat', 'verses', 'used', 'used', 'us', 'us', 'transgress', 'town', 'signs', 'said', 'said', 'revelations', 'remember', 'proofs', 'musa', 'misery', 'lower', 'lord', 'lessons', 'lentils', 'killed', 'invoke', 'humiliation', 'herbs', 'go', 'fum', 'food', 'exchange', 'evidences', 'e', 'drew', 'disobeyed', 'disobedience', 'disbelieve', 'cucumbers', 'covered', 'bounds', 'better', 'ayat', 'allah', 'allah', 'allah']"
Surah Al-Baqarah,"Verily! Those who believe and those who are Jews and Christians, and Sabians, whoever believes in Allah and the Last Day and do righteous good deeds shall have their reward with their Lord, on them shall be no fear, nor shall they grieve .",2:62,"['righteous good deeds shall', 'whoever believes', 'last day', 'shall', 'shall', 'verily', 'sabians', 'reward', 'lord', 'jews', 'grieve', 'fear', 'christians', 'believe', 'allah']"
Surah Al-Baqarah,"And (O Children of Israel, remember) when We took your covenant and We raised above you the Mount (saying): “Hold fast to that which We have given you, and remember that which is therein so that you may become Al-Muttaqun (the pious – see V.2:2).",2:63,"['saying ): “ hold fast', 'pious – see v', 'may become al', '2 ).', '2', 'took', 'therein', 'remember', 'remember', 'raised', 'muttaqun', 'mount', 'israel', 'given', 'covenant', 'children']"
Surah Al-Baqarah,"Then after that you turned away. Had it not been for the Grace and Mercy of Allah upon you, indeed you would have been among the losers.",2:64,"['turned away', 'allah upon', 'would', 'mercy', 'losers', 'indeed', 'grace', 'among']"
Surah Al-Baqarah,"And indeed you knew those amongst you who transgressed in the matter of the Sabbath (i.e. Saturday). We said to them: “Be you monkeys, despised and rejected.”",2:65,"['saturday ).', 'rejected .”', '“', 'transgressed', 'said', 'sabbath', 'monkeys', 'matter', 'knew', 'indeed', 'e', 'despised', 'amongst']"
Surah Al-Baqarah,So We made this punishment an example to their own and to succeeding generations and a lesson to those who are Al-Muttaqun (the pious – see V.2:2).,2:66,"['pious – see v', 'succeeding generations', '2 ).', '2', 'punishment', 'muttaqun', 'made', 'lesson', 'example', 'al']"
Surah Al-Baqarah,"And (remember) when Musa (Moses) said to his people: “Verily, Allah commands you that you slaughter a cow.” They said, “Do you make fun of us?” He said, “I take Allah’s Refuge from being among Al-Jahilun (the ignorants or the foolish).”",2:67,"['take allah ’', 'allah commands', 'us ?”', 'make fun', 'foolish ).”', 'cow .”', 'among al', '“ verily', '“', '“', 'slaughter', 'said', 'said', 'said', 'remember', 'refuge', 'people', 'musa', 'moses', 'jahilun', 'ignorants']"
Surah Al-Baqarah,"They said, “Call upon your Lord for us that He may make plain to us what it is!” He said, “He says, ‘Verily, it is a cow neither too old nor too young, but (it is) between the two conditions’, so do what you are commanded.”",2:68,"['two conditions ’,', 'may make plain', '“ call upon', '‘ verily', 'cow neither', 'commanded .”', '“', 'young', 'us', 'us', 'says', 'said', 'said', 'old', 'lord', '!”']"
Surah Al-Baqarah,"They said, “Call upon your Lord for us to make plain to us its colour.” He said, “He says, ‘It is a yellow cow, bright in its colour, pleasing to the beholders.’ “",2:69,"['“ call upon', 'beholders .’ “', 'yellow cow', 'make plain', 'colour .”', '“', 'colour', '‘', 'us', 'us', 'says', 'said', 'said', 'pleasing', 'lord', 'bright']"
Surah Al-Baqarah,"They said, “Call upon your Lord for us to make plain to us what it is. Verily to us all cows are alike, And surely, if Allah wills, we will be guided.”",2:70,"['“ call upon', 'make plain', 'guided .”', 'allah wills', 'verily', 'us', 'us', 'us', 'surely', 'said', 'lord', 'cows', 'alike']"
Surah Al-Baqarah,"He [Musa (Moses)] said, “He says, ‘It is a cow neither trained to till the soil nor water the fields, sound, having no other colour except bright yellow.’ ” They said, “Now you have brought the truth.” So they slaughtered it though they were near to not doing it.",2:71,"['colour except bright yellow .’ ”', 'cow neither trained', 'moses )] said', 'truth .”', 'said', '“', '“', '‘', 'water', 'till', 'though', 'sound', 'soil', 'slaughtered', 'says', 'near', 'musa', 'fields', 'brought']"
Surah Al-Baqarah,And (remember) when you killed a man and fell into dispute among yourselves as to the crime. But Allah brought forth that which you were hiding.,2:72,"['allah brought forth', 'dispute among', 'remember', 'man', 'killed', 'hiding', 'fell', 'crime']"
Surah Al-Baqarah,"So We said: “Strike him (the dead man) with a piece of it (the cow).” Thus Allah brings the dead to life and shows you His Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) so that you may understand.",2:73,"['cow ).” thus allah brings', '“ strike', 'may understand', 'etc .)', 'dead man', 'dead', 'verses', 'signs', 'shows', 'said', 'revelations', 'proofs', 'piece', 'life', 'lessons', 'evidences', 'ayat']"
